,location,network_provider,How would you rate your overall mobile network experience?,Which of the following issues do you frequently experience? (Select all that apply),What time of day do you usually experience the worst network performance?,How often do you face these issues?,Have you ever reported a network issue to your service provider?,"If yes, how satisfied were you with the response you received?",Would you be willing to rate your network experience regularly using a mobile app?,Would you be comfortable with an app running in the background to measure network performance?,What concerns would you have using such an app? (Select all that apply),Would you be more willing to use the app if your data was anonymized and secured?,How frequently would you be willing to provide feedback via short in-app questions?,What features would encourage you to use such an app? (Select all that apply),Which platform do you use for your phone?,How often do you install and try out new mobile apps?,What would stop you from using this app? (Short Answer),Would you like to be contacted for future updates or to test the app?
59,Bamenda,Orange,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,Daily,Yes,Very dissatisfied,Yes,Yes,I have no concerns,Yes,Once a day,Airtime/data rewards,Android,Frequently,Ads,"Yes (If yes, leave your email or phone number)"
60,Bafoussam,MTN,1,Unavailable network,No specific time,Daily,No,Neutral,Maybe,Yes,Battery drain,Yes,Once a day,Airtime/data rewards,Android,Frequently,Poor network,"Yes (If yes, leave your email or phone number)"
61,Bamenda,MTN,3,Unavailable network,No specific time,A few times a week,No,Neutral,Maybe,Not sure,Privacy concerns,Maybe,Once a month,Airtime/data rewards,Android,Frequently,Privacy concerns ,"Yes (If yes, leave your email or phone number)"
62,Bamenda,MTN,4,Unavailable network,Evening (6PM–12AM),A few times a week,No,Neutral,Yes,Yes,Data usage,Yes,Once a month,Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Occasionally,Any data charges for using the app,"Yes (If yes, leave your email or phone number)"
62,Bamenda,Orange,4,Unavailable network,Evening (6PM–12AM),A few times a week,No,Neutral,Yes,Yes,Data usage,Yes,Once a month,Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,Android,Occasionally,Any data charges for using the app,"Yes (If yes, leave your email or phone number)"
63,Buea,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,Afternoon (12PM–6PM),Daily,No,Very dissatisfied,Yes,Yes,Battery drain;Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Data consuming ,"Yes (If yes, leave your email or phone number)"
63,Buea,Orange,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,Afternoon (12PM–6PM),Daily,No,Very dissatisfied,Yes,Yes,Battery drain;Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Data consuming ,"Yes (If yes, leave your email or phone number)"
63,Buea,Camtel,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,Afternoon (12PM–6PM),Daily,No,Very dissatisfied,Yes,Yes,Battery drain;Data usage;Slowing down my phone,Yes,Once a week,Airtime/data rewards,Android,Occasionally,Data consuming ,"Yes (If yes, leave your email or phone number)"
64,Buea,MTN,4,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Yes,No,Battery drain;Slowing down my phone,Maybe,Once a month,Airtime/data rewards,Android,Occasionally,"Too many ads, freezing or slow down my phone ","Yes (If yes, leave your email or phone number)"
64,Buea,Camtel,4,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Yes,No,Battery drain;Slowing down my phone,Maybe,Once a month,Airtime/data rewards,Android,Occasionally,"Too many ads, freezing or slow down my phone ","Yes (If yes, leave your email or phone number)"
65,Buea,MTN,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,A few times a week,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience;Visual performance trends,Android,Occasionally,Too much battery usage andd notifications,No
65,Buea,Orange,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,A few times a week,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience;Visual performance trends,Android,Occasionally,Too much battery usage andd notifications,No
65,Buea,Camtel,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,A few times a week,No,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns;Slowing down my phone,Yes,Only when I experience a problem,Personalized reports on my network experience;Visual performance trends,Android,Occasionally,Too much battery usage andd notifications,No
66,Buea,MTN,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Rarely,No,Dissatisfied,Yes,Yes,Battery drain;Slowing down my phone,Maybe,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,I use both,Frequently,Nothing ,"Yes (If yes, leave your email or phone number)"
66,Buea,Orange,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Rarely,No,Dissatisfied,Yes,Yes,Battery drain;Slowing down my phone,Maybe,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,I use both,Frequently,Nothing ,"Yes (If yes, leave your email or phone number)"
66,Buea,Camtel,3,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Rarely,No,Dissatisfied,Yes,Yes,Battery drain;Slowing down my phone,Maybe,Once a week,Airtime/data rewards;Personalized reports on my network experience;Anonymous contribution to service improvements;Visual performance trends,I use both,Frequently,Nothing ,"Yes (If yes, leave your email or phone number)"
67,Buea,MTN,3,Poor signal strength;Slow internet speeds,Afternoon (12PM–6PM),Daily,Yes,Neutral,Yes,Yes,Data usage,Yes,Once a month,Airtime/data rewards,Android,Occasionally,No data,"Yes (If yes, leave your email or phone number)"
